"ID","PMNNO","ACCNO","UID","EXP","GenericName","FLAG","ACTIVITY"
53,"P000321",235848,,,"Polyamide amine epichlorohydrin resin (PROVISIONAL)","PMN; XU","INACTIVE"
54,"P000322",277191,,,"Polyamide amine epichlorohydrin resin (PROVISIONAL)","PMN; XU","INACTIVE"
55,"P000323",251457,,,"Polyamide amine epichlorohydrin resin (PROVISIONAL)","PMN; XU","INACTIVE"
56,"P000324",242638,,,"Polyamide amine epichlorohydrin resin (PROVISIONAL)","PMN; XU","INACTIVE"
57,"P000325",260732,,,"Polyamide amine resin (PROVISIONAL)","PMN; XU","INACTIVE"
58,"P000326",241657,,,"Aliphatic urethane (PROVISIONAL)","PMN","ACTIVE"
59,"P000327",274330,,,"Amine salt (PROVISIONAL)","PMN","ACTIVE"
60,"P000328",250863,,,"Maleic anhydride polyester (PROVISIONAL)","PMN; XU","INACTIVE"
61,"P000331",263195,,,"Vinylpyrrolidone vinylester copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
62,"P000336",248272,,,"Liquid anionic polymer (PROVISIONAL)","PMN; XU","ACTIVE"
63,"P000337",243880,,,"Liquid anionic polymer (PROVISIONAL)","PMN; XU","ACTIVE"
64,"P000342",165107,,,"Blocked isocyanate polymer (PROVISIONAL)","PMN; XU","ACTIVE"
65,"P000344",250454,,,"Mixed polyol-glycerol fatty acid ester (PROVISIONAL)","PMN","INACTIVE"
66,"P000345",264698,,,"Acrylic polymer (PROVISIONAL)","PMN; XU","ACTIVE"
67,"P000348",246710,,,"N,N'-Bis(octadecanoyl)hexylenediamine (PROVISIONAL)","PMN","INACTIVE"
68,"P000350",251731,,,"Ketimine functional oligomer (PROVISIONAL)","PMN; XU","ACTIVE"
69,"P000351",269626,,,"Amino-hydroxysulfonaphthylazo-disubstituted phenyl azo benzene carboxylate salt","PMN; S","ACTIVE"
70,"P000354",245988,,,"Polyester-polyvinyl modified MDI-based polyurethane (PROVISIONAL)","PMN; XU","INACTIVE"
71,"P000359",268736,,,"Alkylnapthalenesulfonic acid (PROVISIONAL)","PMN","INACTIVE"
72,"P000362",244543,,,"1,1'-Methylenebis[isocyanatobenzene], polymer with polyether polyols, a polyester polyol, and a modified polyvinyl copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
73,"P000362",198028,,,"1,1'-Methylenebis[isocyanatobenzene], polymer with polyvinyl polyols, a polyester polyol, and a modified polyvinyl copolymer (PROVISONAL)","PMN; XU","INACTIVE"
74,"P000366",167556,,,"Polyolefin and polyamide (PROVISIONAL)","PMN; XU","ACTIVE"
75,"P000367",154440,,,"Polyamide (PROVISIONAL)","PMN; XU","ACTIVE"
76,"P000370",253737,,,"Alphatic alcohol (PROVISIONAL)","PMN","INACTIVE"
77,"P000372",257739,,,"Acrylic monomer (PROVISIONAL)","PMN","ACTIVE"
78,"P000377",272458,,,"Fluoroolefin copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
79,"P000379",271819,,,"Blocked polyurethane resin, amine salt (PROVISIONAL)","PMN; XU","INACTIVE"
80,"P000394",273291,,,"Acrylic emulsion polymer (PROVISIONAL)","PMN; XU","ACTIVE"
81,"P000401",262863,,,"Alkenedioic acid, polymer with dihydroxy dialkyl ether and branchedalkanoic acid (PROVISIONAL)","PMN; XU","INACTIVE"
82,"P000407",273520,,,"Calcium fatty acid complex (PROVISIONAL)","PMN","INACTIVE"
83,"P000408",242321,,,"Calcium fatty acid complex (PROVISIONAL)","PMN","INACTIVE"
84,"P000409",269671,,,"Calcium fatty acid complex (PROVISIONAL)","PMN","INACTIVE"
85,"P000410",236647,,,"Calcium fatty acid complex (PROVISIONAL)","PMN","INACTIVE"
86,"P000411",272550,,,"Calcium fatty acid complex (PROVISIONAL)","PMN","INACTIVE"
87,"P000414",270894,,,"Calcium fatty acid complex (PROVISIONAL)","PMN","INACTIVE"
88,"P000415",165016,,,"Calcium fatty acid complex (PROVISIONAL)","PMN","INACTIVE"
89,"P000416",249344,,,"Calcium fatty acid complex (PROVISIONAL)","PMN","INACTIVE"
90,"P000420",250089,,,"Substituted phenylazo phenylazo phenol","PMN; S","ACTIVE"
91,"P000422",237844,,,"Non volatile emulsion acrylic polymer (PROVISIONAL)","PMN; XU","INACTIVE"
92,"P000423",277840,,,"Dinonylnaphthalenesulfonic acid compound with amine (PROVISIONAL)","PMN","INACTIVE"
93,"P000424",263082,,,"Dinonylnaphthalenesulfonic acid compound with amine (PROVISIONAL)","PMN","INACTIVE"
94,"P000426",148711,,,"Inorganic acid reaction product, with alkaline fluoride metal salts(PROVISIONAL)","PMN","ACTIVE"
95,"P000431",260890,,,"Substituted alicyclic alkenyl benz[e]indolium salt (PROVISIONAL)","PMN","ACTIVE"
96,"P000433",244043,,,"Amine neutralized phosphated polyester (PROVISIONAL)","PMN; XU","ACTIVE"
97,"P000439",155998,,,"Polymer of acrylamido alkyl propane sulfonic acid ammonium salt andtwo acrylic monomers (PROVISIONAL)","PMN; XU","ACTIVE"
98,"P000441",256509,,,"Alkyn glyceryl ether sulphonate (PROVISIONAL)","PMN; XU","ACTIVE"
99,"P000443",250669,,,"Alkaryl polyoxyalkylene derivative (PROVISIONAL)","PMN; XU","ACTIVE"
100,"P000444",262283,,,"Alkaryl polyoxyalkylene derivative (PROVISIONAL)","PMN; XU","ACTIVE"
101,"P000445",153878,,,"Polyester polyol (PROVISIONAL)","PMN; XU","INACTIVE"
102,"P000446",179385,,,"Polyester polyol (PROVISIONAL)","PMN; XU","INACTIVE"
103,"P000447",246005,,,"Polyester polyol (PROVISIONAL)","PMN; XU","INACTIVE"
104,"P000456",137678,,,"Fluoroelastomer (PROVISIONAL)","PMN; XU","ACTIVE"
105,"P000457",266923,,,"Modified polyethercarboxylate (PROVISIONAL)","PMN; XU","ACTIVE"
106,"P000458",262181,,,"Modified polyethercarboxylate (PROVISIONAL)","PMN; XU","ACTIVE"
107,"P000459",273553,,,"Modified polyethercarboxylate (PROVISIONAL)","PMN; XU","ACTIVE"
108,"P000460",276938,,,"Modified polyethercarboxylate (PROVISIONAL)","PMN; XU","ACTIVE"
109,"P000461",234516,,,"Modified polyethercarboxylate (PROVISIONAL)","PMN; XU","ACTIVE"
110,"P000462",232101,,,"Modified polyethercarboxylate (PROVISIONAL)","PMN; XU","ACTIVE"
111,"P000465",257137,,,"Isocyanate terminated urethane polymer (PROVISIONAL)","PMN; XU","ACTIVE"
112,"P000474",256827,,,"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymer with methyl 2-methyl-2-propenoate, acid salt (PROVISIONAL)","PMN; XU","ACTIVE"
113,"P000477",240950,,,"Fatty acids, tall oil, polymers with 5-amino-1,3,3-trimethylcyclohexanemethanamine, dicarboxylic acid, fumarated rosin and pentaerythritol (PROVISIONAL)","PMN; XU","INACTIVE"
114,"P000490",236807,,,"Substituted acrylamides and acrylic acid copolymer","PMN; S","INACTIVE"
115,"P000494",150426,,,"Copolymer of acrylic esters and styrene (PROVISIONAL)","PMN; XU","INACTIVE"
116,"P000506",266989,,,"Sodium salt of a naphthalene azo dyestuff (PROVISIONAL)","PMN","INACTIVE"
117,"P000509",256361,,,"Polyether polyurethane (PROVISIONAL)","PMN; XU","ACTIVE"
118,"P000512",276596,,,"Mixed ammonium/sodium salt of a naphthalene azo dye (PROVISIONAL)","PMN","ACTIVE"
119,"P000513",264256,,,"Arylazo substituted sulfonated naphthalene compound (PROVISIONAL)","PMN","INACTIVE"
120,"P000516",252030,,,"Sulfonated dioxazine compound (PROVISIONAL)","PMN","INACTIVE"
121,"P000520",272607,,,"Perfluoroalkyl epoxide (PROVISIONAL)","PMN","INACTIVE"
122,"P000527",235020,,,"Polyester resin (PROVISIONAL)","PMN; XU","INACTIVE"
123,"P000529",272823,,,"Terpolyamide of copolyamide (PROVISIONAL)","PMN; XU","INACTIVE"
124,"P000534",139516,,,"Copolymer of alkyl acrylates (PROVISIONAL)","PMN; XU","INACTIVE"
125,"P000536",266558,"UID-2020-00017","20300527","Reaction product of: polyoxyalkylene solution with trimethylolpropane, 1,4-cyclohexane dimethanol, cyclic aliphatic anhydrides, trimellitic anhydride and block copolymers of ethylene oxide and propylene oxide (PROVISIONAL)","PMN; XU","ACTIVE"
126,"P000537",236794,,,"Reaction product: polyoxyalkylene solution with trimethylolpropane,1,4-cyclohexane dimethanol, cyclic aliphatic anhydrides and trimellitic anhydride (PROVISIONAL)","PMN; XU","INACTIVE"
127,"P000540",255175,,,"Saturated dicarboxylic acid, polymer with polyester, polyamide and substituted carboxylic acid (PROVISIONAL)","PMN; XU","ACTIVE"
128,"P000541",267244,,,"Chloro nitro phenyl ether (PROVISIONAL)","PMN","INACTIVE"
129,"P000542",274067,"UID-2016-00148","20260725","Substituted phenols and formaldehyde polymer, alkylated","PMN; S","ACTIVE"
130,"P000546",274761,"UID-2018-00020","20280323","Alkyloxy-hydroxypropyl, trialkylamine, ammonium chloride (PROVISIONAL)","PMN","ACTIVE"
131,"P000547",275991,,,"Alkyloxy-hydroxypropyl, dialkylamine (PROVISIONAL)","PMN","INACTIVE"
132,"P000549",247177,,,"Polyurethane acrylate ester (PROVISIONAL)","PMN; XU","ACTIVE"
133,"P000557",245240,,,"Epoxy modified saturated polyester resin (PROVISIONAL)","PMN; XU","INACTIVE"
134,"P000560",230661,,,"Acrylic emulsion copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
135,"P000561",277124,,,"Acrylic emulsion copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
136,"P000562",247837,,,"Acrylic emulsion copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
137,"P000563",268769,,,"Acrylic emulsion copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
138,"P000564",251673,,,"Saturated polyester resin (PROVISIONAL)","PMN; XU","ACTIVE"
139,"P000565",267722,,,"Azo red pigment (PROVISIONAL)","PMN","ACTIVE"
140,"P000566",271262,,,"Azo violet pigment (PROVISIONAL)","PMN","ACTIVE"
141,"P000567",232134,,,"Melamine (PROVISIONAL)","PMN; XU","INACTIVE"
142,"P000578",256612,,,"Polyester (PROVISIONAL)","PMN; XU","INACTIVE"
143,"P000587",242194,,,"Amine terminated resin (PROVISIONAL)","PMN; XU","ACTIVE"
144,"P000588",166575,,,"Ketoxime blocked PPDI/polyether prepolymers (PROVISIONAL)","PMN; XU","INACTIVE"
145,"P000591",275413,,,"Organometallic compound (PROVISIONAL)","PMN","INACTIVE"
146,"P000605",251855,,,"Acrylic graft polymer (PROVISIONAL)","PMN; XU","INACTIVE"
147,"P000609",164273,,,"Polyglycolether-polycarboxylate (PROVISIONAL)","PMN; XU","INACTIVE"
148,"P000615",269728,,,"Alkylphenol polyether amine (PROVISIONAL)","PMN; XU","ACTIVE"
149,"P000621",241168,,,"Long chain fatty acids, polymer with polyoxyalkylene and a cyclic diacid (PROVISIONAL)","PMN; XU","INACTIVE"
150,"P000621",182322,,,"Long chain fatty acids, polymer with polyoxyalkylene and a cyclic diacid (PROVISIONAL)","PMN; XU","INACTIVE"
151,"P000626",176091,,,"Acrylate of polymer based on isophorone diisocyanate","PMN; S","INACTIVE"
152,"P000627",246878,,,"Phenolic copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
153,"P000628",164524,"UID-2019-00137","20290516","Alkyl methacrylate copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
154,"P000631",161809,,,"Alkyl arylaminophenylcarboxylate (PROVISIONAL)","PMN","ACTIVE"
155,"P000636",238085,,,"Alkylated nitroso-phenylenediamine","PMN; S","INACTIVE"
156,"P000647",263220,,,"Fatty acids, tall oil, polymers with diamine, 5(or 6)-carboxy-4-hexyl-2-cyclohexene-1-octanoic acid, fumaric acid, polyol, maleic anhydride, pentaerythritol and rosin (PROVISIONAL)","PMN; XU","INACTIVE"
157,"P000655",266354,,,"Aromatic urethane (PROVISIONAL)","PMN; XU","ACTIVE"
158,"P000657",171585,,,"Styrene acrylic emulsion copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
159,"P000658",156139,,,"Styrene acrylic emulsion copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
160,"P000659",143216,,,"Styrene acrylic emulsion copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
161,"P000660",164502,,,"Styrene acrylic emulsion copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
162,"P000680",172168,,,"Fatty acids, reaction products (PROVISIONAL)","PMN","INACTIVE"
163,"P000681",277408,,,"Isocyanate-functional polyester polyurethane (PROVISIONAL)","PMN; XU","ACTIVE"
164,"P000683",160033,,,"2-Propenoic acid, polymer with butyl 2-propenoate, N-(1,1-dimethyl-3-oxobutyl)-2-propenamide, 2-methoxy-2-substituted-ethyl 2-propenoate and methyl 2-methyl-2-propenoate (PROVISIONAL)","PMN; XU","INACTIVE"
165,"P000684",230570,,,"Butadiene, alkyl acrylate, styrene co-polymer (PROVISIONAL)","PMN; XU","INACTIVE"
166,"P000685",243551,,,"Butadiene, alkyl acrylate, alkyl methacrylate, co-polymer (PROVISIONAL)","PMN; XU","ACTIVE"
167,"P000686",279073,,,"Phenol, 4,4'-(1-methylethylidene)bis-, polymers with aliphatic diamines, epichlorohydrin and polyethylene glycol (PROVISIONAL)","PMN; XU","INACTIVE"
168,"P000688",270258,"UID-2016-00012","20260715","Alkanediol (PROVISIONAL)","PMN","ACTIVE"
169,"P000690",172873,,,"Alkoxylated allyl methacrylate (PROVISIONAL)","PMN; XU","ACTIVE"
170,"P000701",243664,,,"Polyimide (PROVISIONAL)","PMN; XU","ACTIVE"
171,"P000702",163145,,,"Olefin oligomers (PROVISIONAL)","PMN; XU","ACTIVE"
172,"P000711",160851,,,"Benzenesulfinic acid, 2,2'-(9,10-dihydro-5,8-dihydroxy-9,10-dioxo-1,4-anthracenediyl)(substituted)-, disodium salt (PROVISIONAL)","PMN","INACTIVE"
173,"P000712",159149,,,"Benzenesulfinic acid, 2,2'-(9,10-dihydro-5,8-dihydroxy-9,10-dioxo-1,4-anthracenediyl)(subsituted)-,disodium salt (PROVISIONAL)","PMN","INACTIVE"
174,"P000713",261542,,,"Arylazo substituted sulfonated naphthalene compound (PROVISIONAL)","PMN","ACTIVE"
175,"P000714",242796,,,"Aminoalkylcarboxylic acid, sodium salt, polymer with saturated dicarboxylic acid, alkyldiols, and alkylisocyanates (PROVISIONAL)","PMN; XU","ACTIVE"
176,"P000718",131410,,,"Modified polyester (PROVISIONAL)","PMN; XU","INACTIVE"
177,"P000719",131056,,,"Amine salt of polyurethane resin (PROVISIONAL)","PMN; XU","INACTIVE"
178,"P000721",256532,,,"Flexible acrylic polymer (PROVISIONAL)","PMN; XU","ACTIVE"
179,"P000723",137485,,,"Acrylic polymer (PROVISIONAL)","PMN; XU","INACTIVE"
180,"P000724",242672,,,"Polyether modified acrylic (PROVISIONAL)","PMN; XU","ACTIVE"
181,"P000732",141878,,,"Alkylsilanes","PMN","ACTIVE"
182,"P000734",243391,,,"Substituted heterocyclic metal complex (PROVISIONAL)","PMN","INACTIVE"
183,"P000736",270452,,,"Polyester acrylate (PROVISIONAL)","PMN; XU","ACTIVE"
184,"P000749",264063,,,"Polycarboxylic acid, zirconium salt (PROVISIONAL)","PMN","ACTIVE"
185,"P000750",149372,,,"Reaction product of: 1,2-ethanediamine, aliphatic diisocyanate and polyether polyols (PROVISIONAL)","PMN; XU","INACTIVE"
186,"P000753",268689,,,"Azo maroon pigment (PROVISIONAL)","PMN","INACTIVE"
187,"P000754",262443,,,"Blocked aromatic isocyanate (PROVISIONAL)","PMN; XU","INACTIVE"
188,"P000756",140295,,,"Isocyanate-terminated polyester polyurethane polymer (PROVISIONAL)","PMN; XU","INACTIVE"
189,"P000757",277340,,,"Isocyanate-terminated polyester polyurethane polymer (PROVISIONAL)","PMN; XU","ACTIVE"
190,"P000758",253840,,,"Isocyanate-terminated polyester polyurethane polymer (PROVISIONAL)","PMN; XU","ACTIVE"
191,"P000766",169836,,,"Rosin modified phenolic resin (PROVISIONAL)","PMN; XU","ACTIVE"
192,"P000767",251297,,,"Modified carbamate acrylic resin (PROVISIONAL)","PMN; XU","ACTIVE"
193,"P000769",260378,,,"Modified carbamate acrylic polymer (PROVISIONAL)","PMN; XU","ACTIVE"
194,"P000783",241997,,,"Sodium derivatives of modified alkali lignin reaction products withformaldehyde (PROVISIONAL)","PMN","ACTIVE"
195,"P000791",233331,,,"Copolymer of styrene and methacrylic esters (PROVISIONAL)","PMN; XU","ACTIVE"
196,"P000792",133610,,,"Silicone copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
197,"P000793",278309,,,"Acrylic solution polymer (PROVISIONAL)","PMN; XU","ACTIVE"
198,"P000800",254105,,,"Amine adduct of epoxy resin (PROVISIONAL)","PMN; XU","INACTIVE"
199,"P000804",178951,,,"Aliphatic dialdehyde (PROVISIONAL)","PMN","ACTIVE"
200,"P000805",173810,,,"Aliphatic dialdehyde (PROVISIONAL)","PMN","ACTIVE"
201,"P000810",171198,,,"Heterocyclic alkyl alcohol (PROVISIONAL)","PMN","INACTIVE"
202,"P000814",138966,,,"Isocyanate terminated urethane polymer (PROVISIONAL)","PMN; XU","INACTIVE"
203,"P000816",179329,,,"Alkyl dialkylamino phenylsulfonyl alkenoate","PMN; S","ACTIVE"
204,"P000817",271148,,,"Silicon resin (PROVISIONAL)","PMN; XU","ACTIVE"
205,"P000818",270349,"UID-2019-00129","20290507","Fatty acids, unsatd. dimers, polymers with .alpha.,.omega.-diisocyanate and .omega.-hydroxyalkyl-imidazolidinone (PROVISIONAL)","PMN; XU","ACTIVE"
206,"P000826",235199,,,"Polyacrylate, partially neutralized (PROVISIONAL)","PMN; XU","INACTIVE"
207,"P000829",264212,,,"Hindered amine light stabilizer (PROVISIONAL)","PMN; XU","ACTIVE"
208,"P000831",165550,,,"Polyether modified dimethylpolysiloxane (PROVISIONAL)","PMN; XU","ACTIVE"
209,"P000832",153696,,,"Polyether modified polydimethylsiloxane (PROVISIONAL)","PMN; XU","ACTIVE"
210,"P000833",161296,"UID-2016-00289","20261030","Polyether modified polysiloxane, acrylated (PROVISIONAL)","PMN; S","ACTIVE"
211,"P000835",177050,,,"Substituted picolinate","PMN; S","ACTIVE"
212,"P000836",155556,,,"Modified copolymer of acrylic esters and styrene (PROVISIONAL)","PMN; XU","INACTIVE"
213,"P000838",172793,,,"Substituted alkyl sulfonamide","PMN; S","INACTIVE"
214,"P000846",157121,,,"Polyester acrylate (PROVISIONAL)","PMN; XU","ACTIVE"
215,"P000851",132877,,,"Trisulfonated(copper phthalocyanine) salt of bis-arylguanidine (PROVISIONAL)","PMN","ACTIVE"
216,"P000853",140886,,,"Arylazonaphthalene sulfonate salt of bis-arylguanidine (PROVISIONAL)","PMN","INACTIVE"
217,"P000860",162664,,,"Polyalkylsiloxane-modified polyalkylene resin (PROVISIONAL)","PMN; XU","ACTIVE"
218,"P000867",177254,,,"Dimethyl,methylalkyl,methylaryl siloxane (PROVISIONAL)","PMN; XU","ACTIVE"
219,"P000868",169325,,,"Pyrazolotriazole derivative (PROVISIONAL)","PMN","INACTIVE"
220,"P000869",137098,,,"Polyurethane (PROVISIONAL)","PMN; XU","ACTIVE"
221,"P000870",253011,,,"Acrylate terpolymer (PROVISIONAL)","PMN; XU","ACTIVE"
222,"P000872",159707,,,"Fluoroelastomer (PROVISIONAL)","PMN; XU","ACTIVE"
223,"P000873",241066,,,"Urethane acrylate (PROVISIONAL)","PMN; XU","INACTIVE"
224,"P000874",238927,,,"Urethane acrylate (PROVISIONAL)","PMN; XU","INACTIVE"
225,"P000884",139561,,,"Polyester polyether isocyanate polymer (PROVISIONAL)","PMN; XU","ACTIVE"
226,"P000886",142815,,,"Polyester polyether isocyanate polymer (PROVISIONAL)","PMN; XU","ACTIVE"
227,"P000887",246641,,,"Polyester polyether isocyanate polymer (PROVISIONAL)","PMN; XU","ACTIVE"
228,"P000890",146828,,,"Cyclohexane, 1,1'-methylenebis[4-isocyanato-, polymer with 2-propenoic acid, 2-hydroxyethyl ester, 2-propenoic acid, 2-methyl-, monoester with 1,2-propanediol, methyloxirane and alkanol (PROVISIONAL)","PMN; XU","ACTIVE"
229,"P000898",248829,,,"Amine salt (PROVISIONAL)","PMN","INACTIVE"
230,"P000900",269842,,,"Polyalkene, sulfonated (PROVISIONAL)","PMN; XU","INACTIVE"
231,"P000901",266218,,,"Polyalkylene, sulfonate, salts (PROVISIONAL)","PMN; 5E","INACTIVE"
232,"P000902",276972,"UID-2019-00167","20290506","Epoxy polyamine adduct (PROVISIONAL)","PMN; XU","ACTIVE"
233,"P000904",261768,,,"Isocyanate functional acrylic-polyester-polyether-urethane polymers(PROVISIONAL)","PMN; XU","INACTIVE"
234,"P000907",264121,,,"Hydroxy functional acrylic polymer (PROVISIONAL)","PMN; XU","INACTIVE"
235,"P000911",256452,,,"Perfluorinated organic peroxide (PROVISIONAL)","PMN","ACTIVE"
236,"P000913",131001,,,"Polyoxyalkylene benzothiazoylazophenyl alkylene ester (PROVISIONAL)","PMN; XU","ACTIVE"
237,"P000914",275866,,,"Titanium phosphinate complex (PROVISIONAL)","PMN","INACTIVE"
238,"P000918",171972,,,"Bisphenoxypolyalkylideneglycol (PROVISIONAL)","PMN; XU","ACTIVE"
239,"P000920",158102,,,"Methacrylate copolymer salt (PROVISIONAL)","PMN; XU","INACTIVE"
240,"P000921",171154,,,"Silane treated silica (PROVISIONAL)","PMN","ACTIVE"
241,"P000923",230785,,,"Polyurea-polyurethane dispersion (PROVISIONAL)","PMN; XU","ACTIVE"
