title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
"Renewable, Organic and Related Carbon Aerogel Monoliths from the Polycondensation of Tannin with 5-(Hydroxymethyl)furfural",10.1007/s10971-022-06015-4,2023,formaldehyde,"The abstract explicitly states that 5-(hydroxymethyl)furfural (5-HMF), a biomass-derived natural crosslinker, replaces petroleum-derived formaldehyde and is described as a 'green alternative' to tannin-formaldehyde aerogels. It highlights the renewable and formaldehyde-free nature of the 5-HMF-based aerogels, implying safety advantages by avoiding formaldehyde. Therefore, 5-HMF is presented as a safer alternative to formaldehyde.",5-(hydroxymethyl)furfural (5-HMF),
Multifunctional Lignin-based Composite Ultra-Adhesive for Wood Processing,10.1039/d3gc03542e,2023,formaldehyde,"The abstract mentions replacing phenol and formaldehyde with whole biomass-based lignin and furfural, implying a shift from fossil-based, non-biodegradable resins to biomass-based alternatives. This suggests a safer alternative to formaldehyde due to the renewable and biodegradable nature of lignin and furfural, which can be reasonably interpreted as safer in terms of environmental impact and sustainability.",lignin; furfural,
A Comprehensive Review of the Chemical Composition and Toxicological Impact of Larsen Embalming Fluid in Medical Anatomy Laboratories: Implications for Neonatal Rat Surgery Preparation,10.52783/jns.v14.2016,2025,formaldehyde,"The abstract explicitly states that the revised Larsen embalming fluid diminishes formaldehyde emissions and reduces chemical hazards compared to formaldehyde-based solutions, highlighting safety advantages such as minimized toxic exposure and improved occupational health. This indicates that Larsen embalming fluid is presented as a safer alternative to formaldehyde.",Larsen embalming fluid,"respiratory inflammation, tissue discoloration, potential carcinogenicity"
Evaluation and comparative analysis of minimal formalin containing compound fixatives,10.18231/2394-6792.2018.0091,2020,formaldehyde,"The abstract evaluates minimal formalin containing compound fixatives (EFG fixatives) that reduce formaldehyde vapor exposure compared to conventional formalin. It highlights that EFG II evaporates less formaldehyde vapor and can reduce fixation time, implying lower exposure and toxicity. The conclusion suggests replacing formaldehyde with less toxic fixatives, indicating EFG fixatives as safer alternatives.",EFG fixatives,"carcinogenicity (group 1 human carcinogen), causal association with leukemia, causal association with nasopharyngeal carcinoma, formalin toxicity"
Research Progress of Wood-Based Panels Made of Thermoplastics as Wood Adhesives,10.3390/polym14010098,2021,formaldehyde,"The abstract explicitly states that using thermoplastic resins such as polyethylene (PE) and polypropylene (PP) as wood adhesives can effectively solve the formaldehyde emission issue present in conventional urea–formaldehyde resin-bonded wood-based panels. It also mentions that thermoplastics are environmentally friendly adhesives and help in effectively solving indoor pollution problems, indicating a safety advantage over formaldehyde-based adhesives.",polyethylene (PE); polypropylene (PP),
ENGINEERING CHARACTERIZATION OF GUM ARABIC BONDED PARTICLE BOARD MADE FROM RICE HUSK AND SAWDUST,10.52417/ojes.v4i1.481,2023,formaldehyde,"The abstract explicitly states that the particle board developed using Gum Arabic resin is an alternative to conventional particle board made with urea melamine or amino-formaldehyde, which is known to be carcinogenic. This implies a safety advantage of the Gum Arabic bonded board over formaldehyde-based binders, presenting it as a safer alternative.",Gum Arabic resin,carcinogenicity
The Efficacy of Nano-Emulsified Disinfectant in Disinfecting the Workplace Environment,10.1166/NNL.2020.3216,2020,formaldehyde,"The abstract explicitly states that nano-emulsified cresol disinfectant is an ideal method to replace formaldehyde and chlorine dioxide in the disinfection of biosafety cabinets, implying it is a safer alternative. This direct comparison and recommendation indicate a safety or efficacy advantage over formaldehyde.",cresol,
"Sosialisasi dan Peningkatan Keterampilan dalam Pemanfaatan Bahan Pengawet Alami pada Produk Nugget di Desa Ngringo, Kecamatan Jaten, Kabupaten Karanganyar",10.20961/agrihealth.v1i1.40935,2020,formaldehyde,"The abstract discusses the dangers of synthetic preservatives such as formaldehyde and borax and promotes the use of natural preservatives as a replacement. It explicitly states that the activity increased knowledge about using natural preservatives to replace synthetic preservatives, implying a safer alternative to formaldehyde.",natural preservatives,danger of using synthetic preservatives such as formaldehyde
Synthesis of Formaldehyde Free Amino Resin to Produce Green Eco-Labelled Leather with Improved Retanning Properties,10.34314/jalca.v115i4.3799,2020,formaldehyde,"The abstract clearly presents a formaldehyde-free melamine-based resin synthesized by condensing melamine with glyoxal as a safer alternative to formaldehyde-based resins. It explicitly states the absence of free formaldehyde in leather and effluent treated with the new resin, highlighting safety for humans and reduced pollution compared to conventional formaldehyde-containing resins.",melamine-based resin synthesized with glyoxal,carcinogenic effects
Bio-based adhesive derived from citric acid and sorbitol for wood-composite manufacture,10.1080/17480272.2022.2090278,2022,formaldehyde,The abstract explicitly states the need to eliminate formaldehyde-based adhesives for health reasons and demonstrates the use of a bio-based adhesive derived from citric acid and sorbitol as a formaldehyde-free alternative. This indicates a safer alternative to formaldehyde-based adhesives.,bio-based adhesive derived from citric acid and sorbitol,
Reinforcement of Bonding Strength and Water Resistance of Soybean Meal-Based Adhesive via Construction of an Interactive Network from Biomass Residues,10.3390/polym11060967,2019,formaldehyde,"The abstract explicitly states that soybean meal-based adhesives are attractive potential environmentally friendly replacements for formaldehyde-based adhesives, indicating a safer alternative. It highlights the development of a natural fiber-reinforced soybean meal-based adhesive with improved properties, positioning it as a substitute for formaldehyde-based adhesives.",soybean meal-based adhesives,
Pectin-based drug for the treatment of quails’ hatching eggs,10.33920/sel-03-2108-06,2021,formaldehyde,"The abstract compares a pectin-based drug to formaldehyde for disinfecting quail hatching eggs and states that the pectin-based drug is harmless and environmentally friendly, implying safety advantages. It explicitly presents the pectin-based drug as an alternative to formaldehyde with positive effects on microbial contamination and embryonic development, indicating it is a safer alternative.",pectin-based drug,
Comparative Enactment of Formaldehyde-free and Formaldehyde-based Cross-linkers on Cotton Woven Fabrics,10.14502/TEKSTILEC2017.60.107-115,2017,formaldehyde,"The abstract compares formaldehyde-based (Fixapret CL) and formaldehyde-free (Fixapret NF) cross-linkers, noting that the formaldehyde-free resin showed marginally lower performance in some fabric properties but had lower strength loss and less yellowing tendency. It concludes that formaldehyde-free resins may be a good replacement considering overall effectiveness, implying a safer alternative due to reduced yellowing and strength loss, which can be interpreted as safety advantages.",formaldehyde-free cross-linkers,
USING OZONE TO STIMULATE QUAIL EMBRYONIC DEVELOPMENT DURING INCUBATION,10.35679/1991-9476-2020-15-4-594-602,2020,formaldehyde,"The abstract compares ozone treatment to formaldehyde vapor for pre-incubation egg processing, highlighting that formaldehyde has toxic effects on staff and embryos, whereas ozone treatment does not cause side effects and positively affects embryo development. This indicates ozone as a safer alternative to formaldehyde.",ozone,"toxic effect on staff, toxic effect on development of embryos during incubation"
Comparison of electroless plating interconnection of different reducing agent systems,10.1109/ICEPT59018.2023.10492314,2023,formaldehyde,"The abstract explicitly states that formaldehyde, the traditional reducing agent, poses risks to the environment and human health, and the study aims to identify a harmless and environmentally friendly alternative. It compares sodium hypophosphite and glyoxylic acid as reducing agents, highlighting glyoxylic acid's better performance and implying it is a safer alternative to formaldehyde.",glyoxylic acid,"risks to natural environment, risks to human health"
LOCAL-IRRITATING PROPERTIES OF «PENOX-1» PRODUCTS,10.36871/vet.san.hyg.ecol.202402019,2024,formaldehyde,"The abstract states that formaldehyde is toxic and not safe for the environment, and introduces Penox-1 as a product that in recommended concentrations does not have a damaging effect on skin and mucous membranes in laboratory animals. This implies Penox-1 is a low-toxic and environmentally friendly alternative to formaldehyde for disinfection in veterinary practice.",Penox-1,"toxicity to animals and service personnel, not safe for the environment, local irritant effect on skin and mucous membranes, hyperemia of conjunctival and corneal vessels, mild edema of eyelids"
Preclinical evaluation of bacterially produced RSV-G protein vaccine: Strong protection against RSV challenge in cotton rat model,10.1038/srep42428,2017,formaldehyde,"The abstract compares the recombinant unglycosylated RSV G protein vaccine to formaldehyde inactivated RSV (FI-RSV) and notes that enhanced lung pathology was observed only in animals vaccinated with FI-RSV, but not with the G protein vaccine. This suggests a safety advantage of the G protein vaccine over the formaldehyde-inactivated vaccine, indicating it as a safer alternative.",recombinant unglycosylated RSV G protein vaccine,
DEVELOPMENT OF A TECHNIQUE AND COMPARISON OF TRADITIONAL PRESERVATION METHOD USING SAINDHAVA LAVANA AND SAMUDRA LAVANA WITH EXISTING FORMALDEHYDE ORGAN PRESERVATION TECHNIQUE,10.7897/2277-4343.156191,2024,formaldehyde,"The abstract explicitly compares salt-based preservation methods (Saindhava Lavana and Samudra Lavana) to formaldehyde and highlights that salt poses no health risks, unlike formaldehyde which causes various side effects. This indicates a clear safety advantage of the salt methods as alternatives to formaldehyde for organ preservation.",Saindhava Lavana; Samudra Lavana,causes various side effects
Development of Mineral-Bonded Plywood with Magnesium Oxychloride as a Binder Using the Hot-Pressing Process,10.3390/polym15040805,2023,formaldehyde,"The abstract explicitly states that magnesium oxychloride cement (MOC) was used as a no-added formaldehyde adhesive for plywood production, indicating it as an alternative to formaldehyde-based adhesives. It describes MOC as environmentally friendly and does not mention any formaldehyde, implying a safety advantage by avoiding formaldehyde emissions. Therefore, MOC is presented as a safer alternative to formaldehyde adhesives.",magnesium oxychloride cement (MOC),
Preparation and application of a novel biomass-based amphoteric retanning agent with the function of reducing free formaldehyde in leather,10.1016/j.jclepro.2020.121796,2020,formaldehyde,"The abstract presents a novel biomass-based amphoteric retanning agent derived from hydrolyzed collagen and oxidized valonia extract that significantly reduces free formaldehyde in leather, achieving a 70.2% removal rate. It explicitly describes the agent as non-toxic and biodegradable, highlighting its function in reducing free formaldehyde, which implies a safety advantage over formaldehyde-containing agents. Therefore, this agent can be reasonably interpreted as a safer alternative to formaldehyde in leather retanning.",biomass-based amphoteric retanning agent derived from hydrolyzed collagen and oxidized valonia extract,
Health adverse effects of formaldehyde exposure to students and staff in gross anatomy,10.18535/IJSRM/V6I2.MP02,2018,formaldehyde,"The abstract explicitly mentions that finding alternative preservation methods, such as freezing, would be safer than using formaldehyde, indicating a safer alternative.",freezing,"nasal itching, eyes burning, excessive lacrimation, eyes redness, headache, respiratory distress, nasal congestion, cough, mouth dryness, temporary loss of ability to recognize the smell of formaldehyde"
"Synthesis of Bio-Based Non-Fluorinated Oil and Water Repellent Finishes for Cotton Fabric by Using Palmitic Acid, Succinic Acid, and Maleic Acid",10.1080/15440478.2022.2116141,2022,formaldehyde,"The abstract explicitly states that the developed oil and water repellents are formaldehyde-free and bio-based, using palmitic acid combined with formaldehyde-free succinic acid or maleic acid. It also mentions that traditional repellents contain formaldehyde-based substances with negative health and environmental impacts, implying that these new polymers are safer alternatives to formaldehyde-based repellents.",succinic acid; maleic acid,"long-term negative impact on human health, long-term negative impact on natural environment"
Recent Development in Synthesis of N‐Methylamines with Amines and Methanol,10.1002/cctc.202400291,2024,formaldehyde,"The abstract explicitly compares methanol to formaldehyde, stating that methanol is more suitable for N-methylation reactions due to its eco-friendliness and low price, and describes formaldehyde as toxic. This indicates methanol as a safer alternative to formaldehyde for N-methylation.",methanol,toxicity
"Copper-Catalyzed Tandem Multi-Component Approach to 1,3-Oxazines at Room Temperature by Cross-Dehydrogenative Coupling Using Methanol as C1 Feedstock",10.1055/s-0036-1591775,2018,formaldehyde,The abstract explicitly states that the reaction avoids the use of carcinogenic formaldehyde by using methanol as the carbon source and an environmentally benign copper(II) catalyst and oxidant. This indicates a safer alternative to formaldehyde is presented.,methanol,carcinogenicity
Formaldehyde-free self-polymerization of lignin-derived monomers for synthesis of renewable phenolic resin.,10.1016/j.ijbiomac.2020.11.012,2020,formaldehyde,"The abstract clearly states that the new phenolic resins are synthesized using lignin-derived monomers without using formaldehyde, aiming to replace toxic formaldehyde. It emphasizes a green and sustainable approach, implying safety advantages by avoiding formaldehyde's adverse effects on environment and human health. Thus, lignin-derived monomers serve as a safer alternative to formaldehyde.",lignin-derived monomers,"adverse effects on the environment, adverse effects on human health, toxicity"
Development of a bio‐xerogel from Kraft black liquor and tannin: Crosslinker analysis and property assessment,10.1002/cjce.25619,2025,formaldehyde,"The abstract explicitly states that the biobased polymer is crosslinked with less toxic aldehydes such as furfural and glyoxal as alternatives to formaldehyde, indicating a safety advantage. It also highlights that furfural-based formulations have superior mechanical strength and stability compared to formaldehyde ones, supporting the feasibility of these safer alternatives.",furfural; glyoxal,
"Tuning the Adhesive Properties of Soy Protein Wood Adhesives with Different Coadjutant Polymers, Nanocellulose and Lignin",10.3390/polym13121972,2021,formaldehyde,"The abstract explicitly states that soy protein-based wood adhesives are proposed as formaldehyde-free alternatives to commercial urea formaldehyde adhesives, motivated by environmental and health concerns about formaldehyde emissions. This indicates that soy protein-based adhesives are presented as safer alternatives to formaldehyde-containing adhesives.",soy protein-based adhesives,
Urea-Formaldehyde Resin Systems Modified with Partially Pyrolyzed and Delignified Lignin: A Review,10.61150/ijonfest.2025030206,2025,formaldehyde,"The abstract discusses the use of bio-based lignin polymer as a replacement additive in urea-formaldehyde resins to reduce formaldehyde emissions, indicating a potential safety advantage. It explicitly states that partial pyrolysis of lignin can reduce formaldehyde emissions, which implies a safer alternative to formaldehyde-containing resins.",bio-based lignin polymer; partially pyrolyzed lignin,formaldehyde emissions endanger environmental and human health
Properties of High-Density Fiberboard Bonded with Urea–Formaldehyde Resin and Ammonium Lignosulfonate as a Bio-Based Additive,10.3390/polym13162775,2021,formaldehyde,"The abstract presents ammonium lignosulfonate (ALS) as a bio-based, formaldehyde-free additive to urea–formaldehyde resin that reduces free formaldehyde emissions in high-density fiberboard panels. It highlights ALS's role as a formaldehyde scavenger and describes it as an eco-friendly additive, implying safety advantages over formaldehyde-containing adhesives. Thus, ALS is clearly indicated as a safer alternative to formaldehyde in this context.",ammonium lignosulfonate,
Hydrochar Derived from Sugarcane Bagasse (HSCB) as a Full Replacement for Wheat Flour Filler in Urea-Formaldehyde (UF) Adhesives for Plywood,10.1016/j.rineng.2025.106569,2025,formaldehyde,"The abstract presents hydrochar derived from sugarcane bagasse (HSCB) as a full replacement for wheat flour filler in urea-formaldehyde adhesives, which leads to lower formaldehyde emissions (2.1 mg L–1 after 35 days) in the plywood product. This indicates a safety advantage related to formaldehyde exposure, suggesting HSCB as a safer alternative filler in the adhesive formulation compared to the conventional wheat flour filler in UF adhesives.",hydrochar derived from sugarcane bagasse (HSCB),
"A Tough, Water-Resistant, High Bond Strength Adhesive Derived from Soybean Meal and Flexible Hyper-Branched Aminated Starch",10.3390/polym11081352,2019,formaldehyde,"The abstract explicitly states that the soybean meal (SM)-based adhesive has great potential to replace carcinogenic formaldehyde-containing adhesives, indicating a safety advantage. It presents the SM adhesive combined with hyper-branched aminated starch (HD) as a novel, tough, water-resistant adhesive that can serve as a safer alternative to formaldehyde-based adhesives.",soybean meal (SM)-based adhesive; hyper-branched aminated starch (HD),carcinogenic formaldehyde
Research on the Release of Dangerous Compounds from the BTEX and PAHs Groups in Industrial Casting Conditions,10.3390/ma14102581,2021,formaldehyde,"The abstract compares emissions from moulding sands with different binders, including phenol-formaldehyde and inorganic binders, and states that sands with inorganic binders have negligible gas emissions compared to organic binders like phenol-formaldehyde. This indicates that inorganic binders are safer alternatives in terms of emissions, which can be reasonably interpreted as a safer alternative to formaldehyde-based binders.",inorganic binders,
Toward Complete Utilization of Miscanthus in a Hot-Water Extraction-Based Biorefinery,10.3390/EN11010039,2017,formaldehyde,"The abstract explicitly states that the recovered lignin was used to prepare a formaldehyde-free alternative to phenol-formaldehyde resins, indicating a safer alternative to formaldehyde-based resins. This clearly presents a material that replaces formaldehyde with a presumably safer option.",formaldehyde-free lignin-based resins,
Bio-based composites from bagasse using carbohydrate enriched cross-bonding mechanism: A formaldehyde-free approach,10.1016/j.carpta.2024.100467,2024,formaldehyde,"The abstract explicitly states the production of formaldehyde-free bagasse particleboard using a cross-bonding technique and sustainable bone glue, indicating these as alternatives to formaldehyde-based adhesives. It highlights the use of bone glue and cross-bonding as safer substitutes by emphasizing the formaldehyde-free nature of the product, which implies a safety advantage over formaldehyde-containing materials.",bone glue,
New method for the synthesis of formaldehyde-free phenolic resins from lignin-based aldehyde precursors,10.1016/J.EURPOLYMJ.2015.11.036,2016,formaldehyde,"The abstract explicitly states the synthesis of formaldehyde-free phenolic resins using lignin-based aromatic aldehyde precursors such as 4-hydroxybenzaldehyde and vanillin, which are biobased and lead to resins with competitive thermal properties. This indicates these lignin-based aldehydes are presented as safer alternatives to formaldehyde, which is described as highly toxic and volatile.",4-hydroxybenzaldehyde; vanillin,"highly toxic, volatile"
Strength enhancement and zero formaldehyde film for fibrillation resistance of lyocell knitted fabric via electrostatic self-assembly,10.1016/j.porgcoat.2025.109835,2026,formaldehyde,"The abstract explicitly states that the proposed fibrillation resistance treatment is a 'formaldehyde-free approach,' indicating it avoids formaldehyde use. It presents a method using epichlorohydrin-dimethylamine copolymer (EDC) and polyacrylic acid emulsion (PAE) to form a protective film, which improves fabric properties without formaldehyde emission. This clearly indicates a safer alternative to formaldehyde-based treatments.",epichlorohydrin-dimethylamine copolymer (EDC); polyacrylic acid emulsion (PAE),
