title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
High-performance adhesives modified by demethylated lignin for extreme environment,10.1039/d2nj06225a,2023,bisphenol A,"The abstract mentions replacing bisphenol A with harmless biomass-based raw materials in epoxy resin preparation, implying a safer alternative due to the toxicity of bisphenol A. This indicates a safety advantage and a replacement strategy.",biomass-based raw materials,toxic chemical
"Determination of cytotoxicity of dentine bonding agents, hydroxyethyl methacrylate and bisphenol alpha",10.15713/INS.IDMJAR.57,2017,bisphenol A,"The abstract compares cytotoxicity of several dental adhesives and components, including bisphenol alpha, and finds that bisphenol alpha and One Coat-7.0 are strongly cytotoxic, while Clearfil SE Bond shows the lowest cytotoxicity. This indicates Clearfil SE Bond may be a safer alternative to bisphenol alpha in terms of cytotoxicity.",Clearfil SE Bond,cytotoxicity
"One‐pot method for upcycling polycarbonate waste to yield high‐strength, BPA‐free composites",10.1002/pol.20230724,2023,bisphenol A,"The abstract describes a method that chemically upcycles polycarbonate waste by disintegrating bisphenol A units into monoaryls, thereby eliminating endocrine-disrupting BPA from the material and downstream waste. The resulting composite SPC90 is BPA-free and has mechanical strengths suitable for building materials, suggesting it as a safer alternative to BPA-containing materials.",BPA-free composites (SPC90),endocrine disruption
Sustainable alternative to bisphenol A epoxy resin: high-performance recyclable epoxy vitrimers derived from protocatechuic acid,10.1039/d0py00545b,2020,bisphenol A,"The abstract explicitly states that epoxy vitrimers derived from protocatechuic acid can be used as renewable alternatives to BPA epoxy resins and highlights better thermal and mechanical properties as well as efficient reprocessability and degradability, indicating safety advantages over bisphenol A.",epoxy vitrimers derived from protocatechuic acid,
Sex-specific changes in oxidative stress parameters and longevity produced by Bisphenol F and S compared to Bisphenol A in Drosophila melanogaster.,10.1016/j.cbpc.2022.109329,2022,bisphenol A,"The abstract compares the toxicological effects of Bisphenol A (BPA) with Bisphenol F (BPF) and Bisphenol S (BPS) in Drosophila melanogaster and states that BPA was more harmful than BPF and BPS in male flies. It also notes that females were more susceptible to oxidative cell damage from BPA and BPS than from BPF. This indicates that BPF and BPS have lower toxicity compared to BPA, suggesting they are safer alternatives.",bisphenol F; bisphenol S,"oxidative cell damage, decreased catalase (CAT) activity, increased reactive species (RS), increased lipid peroxidation (LPO), reduced mitochondrial viability, reduced glutathione-S-transferase (GST) activity, reduced superoxide dismutase (SOD) activity, reduced longevity"
PASIF Pemanfaatan Pati Ubi Jalar Serta Kitosan Sebagai Antimikroba Dalam Pembuatan Edible film,10.64477/301240-246,2024,bisphenol A,The abstract explicitly states that edible films made from sweet potato starch and chitosan are an alternative to plastics containing Bisphenol A (BPA) to avoid its health dangers. This implies a safer alternative to BPA-containing plastics by using edible films for food packaging.,sweet potato starch; chitosan,health problems
"Preparation of Renewable Epoxy-Amine Resins With Tunable Thermo-Mechanical Properties, Wettability and Degradation Abilities From Lignocellulose- and Plant Oils-Derived Components",10.3389/fchem.2019.00159,2019,bisphenol A,"The abstract presents novel bisphenols (GDFx) derived from renewable sources that show no endocrine disruption, indicating a safety advantage. These bio-based epoxy precursors (GDFxEPO and GTF-EPO) are described as innocuous and renewable alternatives to conventional bisphenols, implying they are safer than bisphenol A. The explicit mention of no endocrine disruption supports the claim of a safer alternative.",novel bisphenols (GDFx); bio-based epoxy precursors (GDFxEPO and GTF-EPO),
Bisphenol F has different effects on preadipocytes differentiation and weight gain in adult mice as compared with Bisphenol A and S.,10.1016/j.tox.2019.03.016,2019,bisphenol A,"The abstract compares the effects of Bisphenol A (BPA), Bisphenol S (BPS), and Bisphenol F (BPF) on preadipocyte differentiation and weight gain. It states that BPS and BPA increase gene expression related to differentiation and lipid accumulation, while BPF decreases gene expression and results in less weight gain in mice. This suggests that BPF has different and potentially less obesogenic effects than BPA, indicating a safety advantage. Therefore, BPF can be reasonably interpreted as a safer alternative to BPA.",bisphenol F,"endocrine disruption, potential obesogenic effects"
Synthetic Light‐Curable Polymeric Materials Provide a Supportive Niche for Dental Pulp Stem Cells,10.1002/adma.201704486,2018,bisphenol A,"The abstract compares thiol-ene polymerized triacrylates to bisphenol A glycidyl methacrylate (a bisphenol A derivative) and states that the latter negatively impacts stem cell adhesion and signaling, whereas the triacrylates support stem cell functions and have suitable mechanical properties. This indicates that the triacrylate-based materials are safer alternatives to bisphenol A glycidyl methacrylate in terms of biological compatibility with dental pulp stem cells.",thiol-ene polymerized triacrylates,negative impact on matrix and signaling pathways
Bisphenol A and genistein have opposite effects on adult chicken ovary by acting on ERα/Nrf2-Keap1-signaling pathway.,10.1016/j.cbi.2021.109616,2021,bisphenol A,"The abstract compares bisphenol A (BPA) and genistein (GEN) effects on the adult chicken ovary, showing that BPA causes toxicity and oxidative stress, while GEN improves antioxidant capacity and ameliorates BPA-induced oxidative stress. This indicates that genistein has safety advantages over BPA and could be interpreted as a safer alternative.",genistein,"reproductive toxicity, degeneration of follicles and stromal cells, increase of atretic follicles, disruption of redox homeostasis in the ovary, activation of Keap1 and suppression of Nrf2-signaling pathway, alteration of estrogen receptor alpha (ERα) expression"
"Effects of bisphenol A and its analogs bisphenol F and S on life parameters, antioxidant system, and response of defensome in the marine rotifer Brachionus koreanus.",10.1016/j.aquatox.2018.03.024,2018,bisphenol A,"The abstract compares the toxicity of bisphenol A (BPA) with its analogs bisphenol F (BPF) and bisphenol S (BPS), stating that BPA showed the highest acute toxicity, followed by BPF and then BPS. It also suggests that BPS likely causes less toxicity compared to BPA and BPF, indicating a safety advantage. Therefore, BPS is presented as a safer alternative to bisphenol A.",bisphenol S (BPS),"acute toxicity, adverse effects on life span, adverse effects on reproduction, increased intracellular reactive oxygen species (ROS) levels, increased glutathione S-transferase (GST) activity, modulation of cytochrome P450 (CYP) and GST gene expression"
Hydrolyzable Bio‐Based Bisphenols Enabled by the Tishchenko Reaction for Polyurethane Vitrimers with Closed‐Loop Recyclability,10.1002/advs.202503152,2025,bisphenol A,"The abstract explicitly states that the developed fully bio-based bisphenols offer a sustainable alternative to conventional bisphenol A (BPA). It highlights that these bio-based bisphenols introduce hydrolyzable ester bonds allowing complete degradation within approximately 3 days, providing an efficient and eco-friendly end-of-life solution, which implies a safety advantage over BPA. Therefore, the bio-based bisphenols are presented as a safer alternative to BPA.",bio-based bisphenols,
Technical Note – Novel Condensates with High Bio-Based Content as Syntan Replacements,10.34314/kc29s514,2025,bisphenol A,"The abstract introduces novel condensates made from renewable aromatic aldehydes like vanillin that avoid the use of formaldehyde and bisphenols, which are toxic components in conventional syntans containing bisphenol A. It explicitly states no bisphenols are formed and highlights the use of less toxic, renewable materials, indicating a safer alternative to bisphenol A-containing syntans.",vanillin,
Cytogenetic and developmental toxicity of bisphenol A and bisphenol S in Arbacia lixula sea urchin embryos,10.1007/s10646-022-02568-w,2022,bisphenol A,"The abstract compares bisphenol A (BP-A) and bisphenol S (BP-S), stating that BP-S is an alternative to BP-A. It reports that BP-S induces similar toxic effects but with lower severity, including significantly fewer malformed embryos and no cytogenetic toxicity at certain concentrations where BP-A is toxic. This indicates BP-S is presented as a safer alternative to BP-A.",bisphenol S (BP-S),"embryotoxicity, embryonic malformations, mortality, cytogenetic toxicity"
The Choice of Hemodialysis Membrane Affects Bisphenol A Levels in Blood.,10.1681/ASN.2015030312,2016,bisphenol A,"The abstract compares BPA-containing polysulfone dialyzers with BPA-free polynephron dialyzers and shows that polynephron dialyzers reduce predialysis serum BPA levels and intracellular BPA, while polysulfone dialyzers increase BPA levels and oxidative stress. This indicates that polynephron dialyzers are a safer alternative to BPA-containing polysulfone dialyzers.",polynephron,"kidney injury, cardiovascular injury, increased oxidative stress, increased inflammatory marker concentrations, intracellular BPA accumulation in PBMCs"
Bio-based Non-estrogenic Dimethacrylate Dental Composite from Cloves,10.1177/00220345221109498,2022,bisphenol A,"The abstract explicitly compares the bio-based dimethacrylate monomers BEF-GMA and BEF-EA to commercial bisphenols including Bis-GMA, highlighting that these bio-based monomers are nonestrogenic and exhibit improved biocompatibility. It states that these materials have adequate or superior mechanical properties and lower toxicity, indicating safety advantages over bisphenol A derivatives. Thus, BEF-GMA and BEF-EA are presented as safer alternatives to bisphenol A.",BEF-GMA; BEF-EA,endocrine disruption
Modulation of cytokine/chemokine production in human macrophages by bisphenol A: A comparison to analogues and interactions with genistein,10.1080/1547691X.2018.1476629,2018,bisphenol A,"The abstract compares the immunotoxicity of BPA with its analogs BPS and BPAF, stating that BPS was the least toxic among them. This indicates a safety advantage of BPS relative to BPA, suggesting BPS as a safer alternative. The abstract explicitly presents BPS as less toxic than BPA in the context of macrophage immunotoxicity.",bisphenol S (BPS),"immunotoxicity to macrophages, alteration of cytokine and chemokine secretion, cell viability inhibition"
"Overview: Polycarbonates via Ring-Opening Polymerization, Differences between Six- and Five-Membered Cyclic Carbonates: Inspiration for Green Alternatives",10.3390/polym14102031,2022,bisphenol A,"The abstract explicitly states that glycerol carbonate (GC), a five-membered cyclic carbonate derived from renewable glycerol and CO2 fixation, presents a strong alternative to bisphenol A (BPA). It also notes that BPA is listed as a substance of very high concern, implying safety issues. The mention of GC's physical properties and potential for producing new polycarbonates suggests safety advantages, supporting that GC is a safer alternative to BPA.",glycerol carbonate (GC),listed as a substance of very high concern (SVHC) under the REACH regulation
Recent advances in bio-based polybenzoxazines as an interesting adhesive coating,10.1039/d3ra03514j,2023,bisphenol A,"The abstract discusses bio-based benzoxazines as alternatives to petroleum-based benzoxazines, including bisphenol A-based benzoxazine, due to environmental concerns. It highlights bio-based polybenzoxazine's eco-friendly properties such as anticorrosion, affordability, and low water absorption, implying safety advantages. Therefore, bio-based polybenzoxazine is presented as a safer alternative to bisphenol A-based benzoxazine.",bio-based polybenzoxazine,
DNA Methylation Targets Influenced by Bisphenol A and/or Genistein Are Associated with Survival Outcomes in Breast Cancer Patients,10.3390/genes8050144,2017,bisphenol A,"The abstract compares bisphenol A (BPA) and genistein (GEN), indicating that GEN counters some carcinogenic alterations caused by BPA and is associated with cancer suppressive properties. This suggests GEN may be a safer alternative to BPA in the context of cancer risk.",genistein,"carcinogenic properties, predisposition to mammary cancer"
Synthesis and curing performance of a novel bio‐based epoxy monomer from soybean oil,10.1002/EJLT.201600429,2017,bisphenol A,"The abstract presents a novel bio-based epoxy monomer derived from soybean oil used to modify commercial bisphenol-A epoxy oligomer. It highlights environmental advantages such as renewability, potential biodegradability, and overcoming brittleness of bisphenol-A networks. These points indicate a safer alternative to bisphenol A due to improved environmental friendliness and degradability.",bio-based epoxy monomer derived from soybean oil,
Screening of the Antagonistic Activity of Potential Bisphenol A Alternatives toward the Androgen Receptor Using Machine Learning and Molecular Dynamics Simulation.,10.1021/acs.est.3c09779,2024,bisphenol A,"The abstract explicitly mentions lignin-derivable bisguaiacols as alternatives to BPA and states that they are likely to be nonantagonist for the androgen receptor compared to bisphenol analogues, implying a safety advantage in terms of endocrine disruption. This indicates a safer alternative to bisphenol A.",lignin-derivable bisguaiacols,endocrine-disrupting effects
Are potential bisphenol-A substitutes really safe for aquatic life? Impact on primary producers,10.12714/egejfas.41.3.05,2024,bisphenol A,"The abstract compares the toxicity of bisphenol A (BPA) with three analogues (BPB, BADGE, BFDGE) on marine phytoplankton and reports that BPB, BFDGE, and BADGE showed lower toxicity than BPA, indicating safety advantages. This clearly presents these analogues as safer alternatives to BPA in terms of ecotoxicological impact on aquatic primary producers.",bisphenol B (BPB); bisphenol A diglycidyl ether (BADGE); bisphenol F diglycidyl ether (BFDGE),"threat to environmental health, threat to human health, toxicity to marine phytoplankton (algal growth inhibition)"
Equol-based epoxy resin as an ideal substitute for the Diglycidyl Ether of Bisphenol A (DGEBA),10.1016/j.polymdegradstab.2024.110856,2024,bisphenol A,"The abstract explicitly states that the equol-based epoxy resin (EEU-DDS) is an ideal alternative to petroleum-based bisphenol A-type epoxy resin (DGEBA-DDS) and highlights superior properties including mechanical strength, heat resistance, flame retardancy, and lower peak heat and smoke release rates, which indicate safety advantages. These improvements in flame retardancy and reduced smoke release reasonably suggest a safer alternative to bisphenol A-based epoxy resin.",equol-based epoxy resin,
Determination of Endocrine Disruptor Bisphenol-A leakage from Different Matrices of Dental Resin-Based Composite Materials,10.2174/1573412917666210525114226,2021,bisphenol A,"The abstract mentions that BPA was detected in all resin combinations except below quantification limits in one system, and it concludes by suggesting the use of alternative materials such as high-viscosity glass ionomers, inorganic biomaterials, and ceramic as ideal and healthier options. This implies these alternatives are safer than BPA-containing resins due to health concerns related to BPA leakage.",high-viscosity glass ionomers; inorganic biomaterials; ceramic,endocrine disruption
Condensation reaction using monohydroxymethylated cardanol for cardanol-phenol bisphenol with ultra-low hormone receptor binding affinity.,10.1039/d5cc04913j,2025,bisphenol A,"The abstract explicitly states that the novel bio-based cardanol–phenol bisphenol has hormone receptor binding affinity nearly three orders of magnitude lower than bisphenol A, indicating a significant safety advantage in terms of endocrine disruption potential. This clearly presents the cardanol–phenol bisphenol as a safer alternative to bisphenol A.",cardanol–phenol bisphenol,
Straw Tar Epoxy Resin for Carbon Fiber-Reinforced Plastic: A Review,10.3390/polym16172433,2024,bisphenol A,"The abstract explicitly states that straw tar-based epoxy resins are recognized as potential alternatives to bisphenol A-based epoxy resins and highlights their role in overcoming problems related to BPA's endocrine disruption and environmental pollution. It also mentions the development of epoxy resins in the direction of non-toxic and harmless characteristics, indicating a safety advantage over BPA.",straw tar-based epoxy resins,"affects the human endocrine system, affects metabolism, environmentally polluting"
Life history traits of low-toxicity alternative bisphenol S on Daphnia magna with short breeding cycles: A multigenerational study.,10.1016/j.ecoenv.2023.114682,2023,bisphenol A,"The abstract states that bisphenol S (BPS) has become an alternative to bisphenol A due to its relatively lower toxicity, explicitly indicating a safety advantage. However, the study also reveals adverse multigenerational effects of BPS on Daphnia magna, but it does not negate the initial claim of BPS being a lower-toxicity alternative. Therefore, BPS is presented as a safer alternative to bisphenol A.",bisphenol S (BPS),
Cerium–Bismuth Oxides/Oxynitrates with Low Toxicity for the Removal and Degradation of Organophosphates and Bisphenols,10.1021/acsanm.2c03926,2022,bisphenol A,"The abstract presents Bi-doped ceria (cerium–bismuth oxides/oxynitrates) as a material that effectively adsorbs and photodegrades bisphenol A and S, with very low toxicity demonstrated in various biological tests. It highlights the low toxicity and green synthesis of Bi-nanoceria, suggesting safety advantages compared to bisphenol A itself, which is known as a toxic endocrine disruptor. Therefore, Bi-doped ceria can be reasonably interpreted as a safer alternative in the context of removing and degrading bisphenol A.",Bi-doped ceria; cerium–bismuth oxides/oxynitrates; Bi-nanoceria,
Development of Eco‐Friendly Thermosetting Resins From Zein and Diglycidyl Ether of Vanillyl Alcohol. A Step Toward Sustainable Materials,10.1002/chem.202500624,2025,bisphenol A,"The abstract explicitly states that the diglycidyl ether of vanillyl alcohol (DGEVA) is a biobased epoxy monomer serving as a sustainable alternative to petrochemical epoxides, and it is bisphenol A-free. This indicates a safer alternative to bisphenol A by avoiding its use and employing renewable, environmentally friendly materials.",diglycidyl ether of vanillyl alcohol (DGEVA),
New Epoxy Thermosets Derived from a Bisimidazolium Ionic Liquid Monomer: An Experimental and Modeling Investigation,10.1021/acssuschemeng.0c03832,2020,bisphenol A,"The abstract explicitly states that the novel polymerizable ionic liquid monomer (ILM) based on a bisimidazolium salt was synthesized to substitute bisphenol A diglycidyl ether (DGEBA) as a starting material, avoiding the use of highly toxic bisphenol A. This indicates a safety advantage by avoiding a highly toxic substance, thus presenting the ILM as a safer alternative to bisphenol A.",bisimidazolium ionic liquid monomer (ILM),"highly toxic Bis-imidazolium, carcinogenic bisphenol A"
"Zinc Polyaleuritate Ionomer Coatings as a Sustainable, Alternative Technology for Bisphenol A-Free Metal Packaging",10.1021/acssuschemeng.1c04815,2021,bisphenol A,"The abstract presents zinc polyaleuritate ionomer coatings as biobased lacquers with mechanical properties and wettability better than bisphenol A-based resins, and highlights their low migration values and antibacterial properties. It explicitly refers to these coatings as potential materials for bisphenol A-free metal packaging, implying a safer alternative due to the biobased nature and improved properties.",zinc polyaleuritate ionomer coatings,
Intrinsically Noncombustible Thermosets from Sulfur-Containing Epoxy Resin and Benzoxazines: Evaluation of Thermal and Mechanical Properties,10.1155/2023/1686001,2023,bisphenol A,"The abstract explicitly states that the new sulfur-containing epoxy resin (EPS) was synthesized using 4,4’-thiobisphenol (TBP) instead of bisphenol A (BA). It highlights improved flame retardancy and thermal properties of the TBP-based copolymers compared to BA-based ones, indicating safety advantages related to flame retardancy. This suggests that TBP-based EPS is presented as a safer alternative to bisphenol A.","4,4’-thiobisphenol (TBP)",
Toward the Manufacturing of a Non-Toxic High-Performance Biobased Epoxy–Hemp Fibre Composite,10.3390/polym16142010,2024,bisphenol A,"The abstract explicitly states that BioIgenox, a biobased epoxy resin, does not have endocrine disrupting activities unlike BPA, a precursor of the commonly used DGEBA epoxy resin. This indicates a clear safety advantage of BioIgenox over bisphenol A, presenting it as a safer alternative.",BioIgenox,
Cytotoxicity measurement of Bisphenol A (BPA) and its substitutes using human keratinocytes,10.1016/j.envres.2018.03.043,2018,bisphenol A,"The abstract explicitly compares the cytotoxicity of BPA and its substitutes, stating that the substitutes are significantly less toxic than BPA. It identifies 1,4-cyclohexanedimethanol (CHDM) and terephthalic acid (TPA) as the least toxic and most suitable substitutes, indicating a safety advantage over BPA.","1,4-cyclohexanedimethanol (CHDM); terephthalic acid (TPA)","endocrine disruption, toxicity to human health, cytotoxicity inducing apoptosis in human keratinocytes, DNA damage"
BPA-free high-performance sustainable polycarbonates derived from non-estrogenic bio-based phenols,10.1039/d1gc01500a,2021,bisphenol A,"The abstract states that several bio-based bisphenols were found to be non-estrogenic, implying a safety advantage over bisphenol A, which is known for estrogenic activity. It also mentions that polycarbonates derived from these bio-based bisphenols have comparable thermal properties to petroleum-derived thermoplastics, suggesting these bio-based bisphenols are safer alternatives to bisphenol A.",bio-based bisphenols,
Comparative cardiotoxicity assessment of bisphenol chemicals and estradiol using human induced pluripotent stem cell-derived cardiomyocytes,10.1101/2023.09.13.557564,2023,bisphenol A,"The abstract compares the cardiotoxic effects of BPA, BPF, BPS, and estradiol, noting that BPS was the least potent disruptor of cardiomyocyte function and that cardiomyocyte physiology was largely undisturbed by BPS exposure. This suggests BPS has a safety advantage over BPA in terms of cardiotoxicity, indicating BPS as a safer alternative to BPA.",bisphenol S (BPS),"cardiac electrophysiology perturbation, decrease in depolarizing spike amplitude, shorter field potential duration, shorter action potential duration, shorter calcium transient duration, decrease in cardiomyocyte contractility"
Interactions of three bisphenol analogues with hemoglobin investigated by spectroscopy and molecular docking,10.1002/jmr.2758,2018,bisphenol A,"The abstract explicitly states that BPB could be used as a better substitute for bisphenol A, implying it has safety advantages. It also suggests controlling the concentration of BPF and BPS for safe use, indicating BPB is considered safer in comparison.",bisphenol BPB,
Evaluation of single and combined toxicity of bisphenol A and its analogues using a highly-sensitive micro-biosensor.,10.1016/j.jhazmat.2019.120908,2020,bisphenol A,"The abstract compares the cytotoxicity of bisphenol A (BPA) and its analogues, showing that bisphenol F (BPF) and bisphenol S (BPS) have lower cytotoxicity (IC50 rank order: BPAF > BPB > BPA > BPF > BPS). This indicates that BPF and BPS are safer alternatives to BPA in terms of cytotoxicity.",bisphenol F (BPF); bisphenol S (BPS),cytotoxicity
Assessing the environmental sustainability of light emitting diodes and conventional blacklight lamps for the treatment of bisphenol-A in water,10.1016/j.eiar.2022.106886,2022,bisphenol A,"The abstract compares UV-LED/TiO2 and UV-BL/TiO2 methods for removing bisphenol-A from water, finding that UV-LED/TiO2 has a 61% lower environmental footprint than UV-BL/TiO2. It also identifies solar photocatalysis as even more environmentally sustainable. These findings indicate that UV-LED/TiO2 and solar photocatalysis are safer alternatives to conventional UV-BL lamps in the context of bisphenol A treatment.",UV-LED/TiO2; solar photocatalysis,
Estrogenic activity research of a novel fluorinated bisphenol and preparation of an epoxy resin as alternative to bisphenol A epoxy resin,10.1016/J.EURPOLYMJ.2018.09.020,2018,bisphenol A,"The abstract presents BTFMEP, a fluorinated epoxy resin derived from BTFMHQ, which has low estrogenic activity and is compared to the commercial bisphenol A-based epoxy resin (DGEBA). It highlights improved properties such as lower dielectric properties and good dimensional stability, and explicitly states BTFMEP as an alternative to DGEBA. The mention of low estrogenic activity suggests a safety advantage over bisphenol A.",BTFMEP,
Zeolites as sustainable catalysts for the selective synthesis of renewable bisphenols from lignin-derived monomers.,10.1002/cssc.201700338,2017,bisphenol A,"The abstract states that alternative biobased bisphenols from lignocellulosic biomass can be beneficial for health issues related to bisphenol A (BPA), implying a safety advantage. It also presents zeolite-catalyzed synthesis of renewable bisphenols as a method to produce these alternatives. This indicates a safer alternative to BPA is proposed.",biobased bisphenols,
Bisphenol S is a haemodialysis-associated xenobiotic that is less toxic than bisphenol A,10.1093/ckj/sfaa071,2020,bisphenol A,"The abstract compares bisphenol S (BPS) to bisphenol A (BPA) and reports that BPS concentrations are lower than BPA concentrations in patients and that no BPS toxicity was observed at concentrations found in patient plasma, whereas BPA was toxic at concentrations ≥100 µM. This indicates that BPS is less toxic than BPA and can be interpreted as a safer alternative.",bisphenol S (BPS),toxicity at concentrations ≥100 µM
The Effects of Low-Dose Bisphenol A and Bisphenol F on Neural Differentiation of a Fetal Brain-Derived Neural Progenitor Cell Line,10.3389/fendo.2018.00024,2018,bisphenol A,"The abstract compares bisphenol A (BPA) and bisphenol F (BPF) in terms of their effects on neural differentiation. It reports that BPA decreases β III-tubulin mRNA levels and the number of β III-tubulin-positive cells, indicating disruption, whereas BPF does not cause these changes. This suggests BPF may be safer than BPA regarding neural differentiation effects, implying BPF as a safer alternative.",bisphenol F,"endocrine disruption, disruption of brain function, disruption of neural differentiation affecting brain development"
Phenolic Hydroxyl‐Activated Lignin for Preparation of Extreme Environments Adaptive Adhesives,10.1002/app.56728,2025,bisphenol A,"The abstract explicitly states that lignin exhibits enormous potential as an alternate for the health-risk compound bisphenol A in epoxy resin adhesives, implying a safer alternative. It highlights the use of lignin activated by a green deep eutectic solvent to prepare epoxy resins with good mechanical properties, suggesting a safety advantage over bisphenol A.",lignin,
Synthesis and Characterization of Eco‐Friendly Epoxy Resins and Novel Fillers for Enhanced Corrosion Protection of Mild Steel,10.1002/pat.70027,2024,bisphenol A,"The abstract explicitly states that bio-based epoxies using resorcinol and isosorbide, combined with novel fillers, offer an environmentally friendly, high-performance alternative to petroleum-based BPA epoxies. It highlights superior properties and eco-friendliness, indicating a safer alternative to bisphenol A.",resorcinol; isosorbide,
Bisphenol S Reduces Pig Spermatozoa Motility through Different Intracellular Pathways and Mechanisms than Its Analog Bisphenol A,10.3390/ijms24119598,2023,bisphenol A,"The abstract compares bisphenol S (BPS) to bisphenol A (BPA) and notes that BPS exerts a lower and slower negative effect on pig sperm motility than BPA. It also states that BPA causes decreases in sperm viability and mitochondrial membrane potential, while BPS does not affect these parameters. These differences indicate that BPS has a safer profile regarding sperm toxicity compared to BPA, suggesting BPS as a safer alternative.",bisphenol S (BPS),"reduction in sperm motility, decrease in sperm viability, decrease in mitochondrial membrane potential, increase in cell reactive oxygen species, increase in mitochondrial reactive species, inhibition of GSK3β phosphorylation, inhibition of PKA phosphorylation"
